data_dir                       :                            ../data/
output_dir                     :                             output/
data_name                      :                              Beauty
do_eval                        :                                   0
load_pretrain                  :                                   1
model_idx                      :                                   1
gpu_id                         :                                   0
contrast_tau                   :                                 0.2
contrast_weight                :                                 1.0
noise_ratio                    :                                 0.0
training_data_ratio            :                                 1.0
similarity_model_name          :                          ItemCF_IUF
base_augment_type              :                              random
model_name                     :                             CLBARec
max_seq_length                 :                                  50
hidden_size                    :                                 128
embedding_size                 :                                  64
num_layers                     :                                   1
dropout_prob                   :                                 0.2
lr                             :                               0.001
batch_size                     :                                 256
no_cuda                        :                                   0
log_freq                       :                                   1
seed                           :                                2024
weight_decay                   :                                 0.0
adam_beta1                     :                                 0.9
adam_beta2                     :                               0.999
augmentation_warm_up_epoches   :                                 500
epochs                         :                                 200
pretrain_epoch                 :                                   0
start_valid                    :                                 100
patience                       :                                  20
n_pairs                        :                                   1
n_whole_level                  :                                   1
wml_weight                     :                                 1.0
aml_weight                     :                                 1.0
rec_weight                     :                                 1.0
attention_probs_dropout_prob   :                                 0.2
hidden_dropout_prob            :                                 0.2
beta                           :                                 0.3
rate_min                       :                                 0.2
rate_max                       :                                0.51
cuda_condition                 :                                   1
data_file                      :                  ../data/Beauty.txt
item_size                      :                               12103
log_file                       :         output/CLBARec-Beauty-1.txt
Namespace(data_dir='../data/', output_dir='output/', data_name='Beauty', do_eval=False, load_pretrain=True, model_idx=1, gpu_id='0', contrast_tau=0.2, contrast_weight=1.0, noise_ratio=0.0, training_data_ratio=1.0, similarity_model_name='ItemCF_IUF', base_augment_type='random', model_name='CLBARec', max_seq_length=50, hidden_size=128, embedding_size=64, num_layers=1, dropout_prob=0.2, lr=0.001, batch_size=256, no_cuda=False, log_freq=1, seed=2024, weight_decay=0.0, adam_beta1=0.9, adam_beta2=0.999, augmentation_warm_up_epoches=500, epochs=200, pretrain_epoch=0, start_valid=100, patience=20, n_pairs=1, n_whole_level=1, wml_weight=1.0, aml_weight=1.0, rec_weight=1.0, attention_probs_dropout_prob=0.2, hidden_dropout_prob=0.2, beta=0.3, rate_min=0.2, rate_max=0.51, cuda_condition=True, data_file='../data/Beauty.txt', item_size=12103, log_file='output/CLBARec-Beauty-1.txt')
{'Epoch': 0, 'HIT@5': '0.0291', 'NDCG@5': '0.0182', 'HIT@10': '0.0504', 'NDCG@10': '0.0250', 'HIT@20': '0.0831', 'NDCG@20': '0.0332'}
{'epoch': 0, 'rec_avg_loss': '0.2156'}
{'epoch': 1, 'rec_avg_loss': '0.2201'}
{'epoch': 2, 'rec_avg_loss': '0.2207'}
{'epoch': 3, 'rec_avg_loss': '0.2111'}
{'epoch': 4, 'rec_avg_loss': '0.2098'}
{'epoch': 5, 'rec_avg_loss': '0.2062'}
{'epoch': 6, 'rec_avg_loss': '0.2056'}
{'epoch': 7, 'rec_avg_loss': '0.2045'}
{'epoch': 8, 'rec_avg_loss': '0.2019'}
{'epoch': 9, 'rec_avg_loss': '0.2009'}
{'epoch': 10, 'rec_avg_loss': '0.1976'}
{'epoch': 11, 'rec_avg_loss': '0.1979'}
{'epoch': 12, 'rec_avg_loss': '0.1961'}
{'epoch': 13, 'rec_avg_loss': '0.1969'}
{'epoch': 14, 'rec_avg_loss': '0.1939'}
{'epoch': 15, 'rec_avg_loss': '0.1940'}
{'epoch': 16, 'rec_avg_loss': '0.1945'}
{'epoch': 17, 'rec_avg_loss': '0.1915'}
{'epoch': 18, 'rec_avg_loss': '0.1931'}
{'epoch': 19, 'rec_avg_loss': '0.1899'}
{'epoch': 20, 'rec_avg_loss': '0.1906'}
{'epoch': 21, 'rec_avg_loss': '0.1914'}
{'epoch': 22, 'rec_avg_loss': '0.1890'}
{'epoch': 23, 'rec_avg_loss': '0.1891'}
{'epoch': 24, 'rec_avg_loss': '0.1869'}
{'epoch': 25, 'rec_avg_loss': '0.1863'}
{'epoch': 26, 'rec_avg_loss': '0.1862'}
{'epoch': 27, 'rec_avg_loss': '0.1882'}
{'epoch': 28, 'rec_avg_loss': '0.1840'}
{'epoch': 29, 'rec_avg_loss': '0.1843'}
{'epoch': 30, 'rec_avg_loss': '0.1842'}
{'epoch': 31, 'rec_avg_loss': '0.1841'}
{'epoch': 32, 'rec_avg_loss': '0.1846'}
{'epoch': 33, 'rec_avg_loss': '0.1811'}
{'epoch': 34, 'rec_avg_loss': '0.1848'}
{'epoch': 35, 'rec_avg_loss': '0.1849'}
{'epoch': 36, 'rec_avg_loss': '0.1805'}
{'epoch': 37, 'rec_avg_loss': '0.1831'}
{'epoch': 38, 'rec_avg_loss': '0.1826'}
{'epoch': 39, 'rec_avg_loss': '0.1840'}
{'epoch': 40, 'rec_avg_loss': '0.1854'}
{'epoch': 41, 'rec_avg_loss': '0.1848'}
{'epoch': 42, 'rec_avg_loss': '0.1807'}
{'epoch': 43, 'rec_avg_loss': '0.1801'}
{'epoch': 44, 'rec_avg_loss': '0.1818'}
